Есть в dict, нет в html

Нету слова 单叶松 | ['dānyèsōng', '[ref]单叶果松[/ref]']
Нету слова 硬叶提灯藓 | ['yìngyè tídēngxiǎn', 'мниум звёздчатый [i](лат. Mnium stellare)[/i]']
Нету слова 嘴努子 | ['_', 'надутые губы', 'обиженная мордочка [i](о подусниках)[/i]']
Нету слова 希陶蹄盖蕨 | ['_', 'Athyrium dentigerum']
Нету слова 短羽蹄盖蕨 | ['_', 'Athyrium contingens']
Нету слова 疏羽蹄盖蕨 | ['_', 'Athyrium nephrodioides']
Нету слова 日光蹄盖蕨 | ['_', 'Athyrium nikkoense']
Нету слова 高寒蹄盖蕨 | ['gāohán tígàijué', 'кочедыжник скальный [i](лат. Athyrium rupestre)[/i]']
Нету слова 睫毛盖假冷蕨 | ['_', 'Athyrium schizochlamys']
Нету слова 阿墩子假冷蕨 | ['_', 'Athyrium atuntzeense']
Нету слова 腺毛蹄盖蕨 | ['_', 'Athyrium glandulosum']
Нету слова 喜马拉雅蹄盖蕨 | ['_', 'Athyrium fimbriatum']
Нету слова 红苞蹄盖蕨 | ['_', 'Athyrium nakanoi']
Нету слова 贞丰蹄盖蕨 | ['_', 'Athyrium zhenfengense']
Нету слова 疏叶蹄盖蕨 | ['_', 'Athyrium dissitifolium var. dissitifolium']
Нету слова 无盖蹄盖蕨 | ['_', 'Athyrium exindusiatum']
Нету слова 假冷蕨 | ['jiǎlěngjué', 'ложнопузырник игольчатый', 'кочедыжник игольчатый [i](лат. Athyrium spinulosum)[/i]']
Нету слова 狭基蹄盖蕨 | ['_', 'Athyrium mehrae']
Нету слова 长叶蹄盖蕨 | ['_', 'Athyrium elongatum']
Нету слова 瘦叶蹄盖蕨 | ['_', 'Athyrium deltoidofrons var. gracillimum']
Нету слова 湿生蹄盖蕨 | ['_', 'Athyrium devolii']
Нету слова 尖头蹄盖蕨 | ['jiāntóu tígàijué', 'кочедыжник Видаля [i](лат. Athyrium vidalii var. vidalii)[/i]']
Нету слова 薄叶蹄盖蕨 | ['_', 'Athyrium delicatulum']
Нету слова 川西蹄盖蕨 | ['_', 'Athyrium costulalisorum']
Нету слова 毛轴蹄盖蕨 | ['_', 'Athyrium hirtirachis']
Нету слова 狭叶蹄盖蕨 | ['_', 'Athyrium flabellulatum']
Нету слова 宝兴蹄盖蕨 | ['_', 'Athyrium baoxingense']
Нету слова 毛叶蹄盖蕨 | ['_', 'Athyrium suprapuberulum']
Нету слова 中甸蹄盖蕨 | ['_', 'Athyrium chungtienense']
Нету слова 小叶蹄盖蕨 | ['_', 'Athyrium leiopodum']
Нету слова 中越蹄盖蕨 | ['_', 'Athyrium christensenii']
Нету слова 柄羽蹄盖蕨 | ['_', 'Athyrium sessilipinnum']
Нету слова 方氏蹄盖蕨 | ['_', 'Athyrium fangii']
Нету слова 俞氏蹄盖蕨 | ['_', 'Athyrium yui']
Нету слова 鹿角蹄盖蕨 | ['_', 'Athyrium araiostegioides']
Нету слова 黑柄蹄盖蕨 | ['_', 'Athyrium nigripes']
Нету слова 川黔蹄盖蕨 | ['_', 'Athyrium iseanum var. chuanqianense']
Нету слова 无毛华中蹄盖蕨 | ['_', 'Athyrium wardii var. glabratum']
Нету слова 坡生蹄盖蕨 | ['_', 'Athyrium clivicola var. clivicola']
Нету слова 光蹄盖蕨 | ['_', 'Athyrium otophorum']
Нету слова 福贡蹄盖蕨 | ['_', 'Athyrium roseum var. fugongense']
Нету слова 粗脉蹄盖蕨 | ['_', 'Athyrium venulosum']
Нету слова 姬蹄盖蕨 | ['_', 'Athyrium subrigescens']
Нету слова 仓田蹄盖蕨 | ['_', 'Athyrium kuratae']
Нету слова 金平蹄盖蕨 | ['_', 'Athyrium adpressum']
Нету слова 墨脱蹄盖蕨 | ['_', 'Athyrium medogense']
Нету слова 高山蹄盖蕨 | ['_', 'Athyrium silvicola']
Нету слова 南岳蹄盖蕨 | ['_', 'Athyrium nanyueense']
Нету слова 脆蹄盖蕨 | ['_', 'Athyrium frangulum']
Нету слова 高超蹄盖蕨 | ['_', 'Athyrium excelsius']
Нету слова 黑合蹄盖蕨 | ['_', 'Athyrium × pseudocryptogrammoides']
Нету слова 库氏天鹅兰 | ['kùshì tiān’élán', '[ref]粗指天鹅兰[/ref]']
Нету слова 天凤花 | ['_', 'Erythrostemon gilliesii']
Нету слова 爪哇天胡荽 | ['_', 'Hydrocotyle javanica']
Нету слова 姬天胡荽 | ['_', 'Hydrocotyle yabei']
Нету слова 漂浮天胡荽 | ['_', 'Hydrocotyle ranunculoides']
Нету слова 不要B脸 | ['_', '[ref]不要脸[/ref]']
Нету слова 蜡烛冥想 | ['làzhú míngxiǎng', 'медитация на пламя свечи', 'тратака']
Нету слова 撞生光谱 | ['zhuàngshēng guāngpǔ', 'спектр', 'индуцированный столкновениями']
Нету слова 自然光谱 | ['zìrán guāngpǔ', 'спектр дневного света']
Нету слова 天马楝 | ['tiānmǎliàn', 'энтандрофрагма ангольская', 'тиама [i](лат. Entandrophragma angolense)[/i]']
Нету слова 柱果天马楝 | ['zhùguǒ tiānmǎliàn', 'энтандрофрагма цилиндрическая', 'сапеле [i](лат. Entandrophragma cylindricum)[/i]']
Нету слова 无多普勒光谱 | ['wúduōpǔlè guāngpǔ', 'бездоплеровский спектр']
Нету слова 叶门冬 | ['_', 'Asparagus asparagoides']
Нету слова 山文竹 | ['_', 'Asparagus acicularis']
Нету слова 折枝天门冬 | ['zhézhī tiānméndōng', 'спаржа угловатонадломанная', 'спаржа джунгарская [i](лат. Asparagus angulofractus)[/i]']
Нету слова 大别山天门冬 | ['_', 'Asparagus dabieshanensis']
Нету слова 非洲武竹 | ['fēizhōu wǔzhú', '[ref]非洲天门冬[/ref]']
Нету слова 戈壁天门冬 | ['_', 'Asparagus gobicus']
Нету слова 长花天门冬 | ['_', 'Asparagus longiflorus']
Нету слова 昆明天门冬 | ['_', 'Asparagus mairei']
Нету слова 西南天门冬 | ['_', 'Asparagus munitus']
Нету слова 北天门冬 | ['_', 'Asparagus przewalskyi']
Нету слова 四川天门冬 | ['_', 'Asparagus sichuanicus']
Нету слова 西藏天门冬 | ['_', 'Asparagus tibeticus']
Нету слова 毛叶天冬 | ['_', 'Asparagus trichophyllus var. trachyphyllus']
Нету слова 烟管头草 | ['yānguǎntóucǎo', 'карпезиум поникающий', 'карпезий поникающий', 'карпезиум поникший [i](лат. Carpesium cernuum)[/i]']
Нету слова 天蓬子属 | ['tiānpéngzǐ shǔ', 'род атропанте [i](лат. Atropanthe)[/i]']
Нету слова 非洲泽芹 | ['_', 'Berula imbricata']
Нету слова 天梯蕨属 | ['_', 'род Jamesonia']
Нету слова 硬毛栗发蕨 | ['_', 'Jamesonia hispidula']
Нету слова 密花天仙藤 | ['_', 'Fibraurea darshanii']
Нету слова 崖莨菪 | ['_', 'Hyoscyamus leptocalyx']
Нету слова 天星蕨 | ['_', 'Christensenia aesculifolia']
Нету слова 羽衣天竺葵 | ['_', 'Pelargonium alchemilloides']
Нету слова 玉人葵 | ['yùrénkuí', 'пеларгония мясистая [i](лат. Pelargonium carnosum)[/i]']
Нету слова 埃佩尔曼 | ['āipèi’ěrmàn', 'Эпельман [i](фамилия)[/i]']
Нету слова 埃皮克 | ['āipíkè', 'Эпик [i](фамилия)[/i]']
Нету слова 危地马拉铁兰 | ['_', 'Tillandsia guatemalensis']
Нету слова 埃皮库尔 | ['āipíkù’ěr', 'Эпикур [i](имя)[/i]']
Нету слова 埃平娜 | ['āipíngnà', 'Эпина [i](фамилия)[/i]']
Нету слова 埃皮尔金娜 | ['āipí’ěrjīnnà', 'Эпилкина [i](фамилия)[/i]']
Нету слова 埃皮特尔恩 | ['āipítè’ěr’ēn', 'Эпительн [i](фамилия)[/i]']
Нету слова 埃平格 | ['āipínggé', 'Эппингер [i](фамилия)[/i]']
Нету слова 埃普费尔包姆 | ['āipǔfèi’ěrbāomǔ', 'Эпфельбаум [i](фамилия)[/i]']
Нету слова 埃拉兹穆斯 | ['āilāzīmùsī', 'Эразмус [i](имя)[/i]']
Нету слова 阿拉克 | ['ālākè', 'Арак [i](город в Иране)[/i]']
Нету слова 埃兰斯 | ['āilánsī', 'Эранс [i](фамилия)[/i]']
Нету слова 埃拉西 | ['āilāxī', 'Эрасси [i](фамилия)[/i]']
Нету слова 埃拉斯托娃 | ['āilāsītuōwá', 'Эрастова [i](фамилия)[/i]']
Нету слова 埃拉托娃 | ['āilātuōwá', 'Эратова [i](фамилия)[/i]']
Нету слова 埃贝斯 | ['āibèisī', 'Эрбес [i](фамилия)[/i]']
Нету слова 埃尔维佐夫 | ['āi’ěrwéizuǒfū', 'Эрвицов [i](фамилия)[/i]']
Нету слова 埃尔维耶 | ['āi’ěrwéiyē', 'Эрвье [i](фамилия)[/i]']
Нету слова 埃尔加什博伊 | ['āi’ěrjiāshíbóyī', 'Эргашбой [i](имя)[/i]']
Нету слова 紫花凤梨 | ['zǐhuā fènglí', '[ref]铁兰[/ref]']
Нету слова 埃尔格什 | ['āi’ěrgéshí', 'Эргеш [i](имя)[/i]']
Нету слова 埃尔吉勒 | ['āi’ěrjílè', 'Эргилер [i](фамилия)[/i]']
Нету слова 埃尔格利斯 | ['āi’ěrgélìsī', 'Эрглис [i](фамилия)[/i]']
Нету слова 埃德曼 | ['āidémàn', 'Эрдман [i](фамилия)[/i]']
Нету слова 埃尔德涅耶夫斯基 | ['āi’ěrdénièyēfūsījī', 'Эрдынеевский [i](фамилия)[/i]']
Нету слова 埃列卡耶夫 | ['āilièkǎyēfū', 'Эрекаев [i](фамилия)[/i]']
Нету слова 埃伦格罗斯 | ['āilúngéluósī', 'Эренгросс [i](фамилия)[/i]']
Нету слова 埃伦菲尔德 | ['āilúnfēi’ěrdé', 'Эренфельд [i](фамилия)[/i]']
Нету слова 埃尔兹利坎 | ['āi’ěrzīlìkǎn', 'Эрзликан [i](имя собственное)[/i]']
Нету слова 埃尔万采夫 | ['āi’ěrwàncǎifū', 'Эрванцев [i](фамилия)[/i]']
Нету слова 埃里卡耶夫 | ['āilǐkǎyēfū', 'Эрикаев [i](фамилия)[/i]']
Нету слова 埃里金娜 | ['āilǐjīnnà', 'Эрикина [i](фамилия)[/i]']
Нету слова 埃里斯 | ['āilǐsī', 'Эрис [i](имя)[/i]']
Нету слова 埃里斯托夫 | ['āilǐsītuōfū', 'Эристов [i](фамилия)[/i]']
Нету слова 埃尔卡拜 | ['āi’ěrkǎbài', 'Эркабай [i](имя)[/i]']
Нету слова 埃尔金拜 | ['āi’ěrjīnbài', 'Эркинбай [i](имя)[/i]']
Нету слова 埃尔列克索娃 | ['āi’ěrlièkèsuǒwá', 'Эрлексова [i](фамилия)[/i]']
Нету слова 埃尔利茨基 | ['āi’ěrlìcíjī', 'Эрлицкий [i](фамилия)[/i]']
Нету слова 埃曼斯 | ['āimànsī', 'Эрманс [i](фамилия)[/i]']
Нету слова 埃尔纳扎罗娃 | ['āi’ěrnàzāluówá', 'Эрназарова [i](фамилия)[/i]']
Нету слова 埃尔纳尼 | ['āi’ěrnà’ní', 'Эрнани [i](имя)[/i]']
Нету слова 不完全性雄激素不敏感综合征 | ['bù wánquánxìng xióngjīsù bùmǐngǎn zōnghézhēng', 'синдром неполной андрогенной нечувствительности']
Нету слова 弧光光谱 | ['húguāng guāngpǔ', 'дуговой спектр']
Нету слова 企者不立，跨者不行 | ['qǐzhě bú lì', 'kuàzhě bù xíng', 'Стоящий на цыпочках долго не простоит', 'делающий (большие', 'быстрые) шаги (далеко) не уйдёт ([i]цитата по 老子[/i])']
Нету слова 多脉天竺香 | ['_', 'Vateria copallifera']
Нету слова 激发态吸收 | ['jīfātài xīshōu', 'возбуждённое поглощение', 'поглощение из возбуждённого состояния']
Нету слова 傅里叶变换光谱 | ['fùlǐyè biànhuàn guāngpǔ', 'фурье-спектр']
Нету слова 花边果甜菜 | ['huābiān’guǒ tiáncài', 'свёкла раздельноплодная [i](лат. Beta lomatogona)[/i]']
Нету слова 蔓生甜菜 | ['_', 'Beta patula']
Нету слова 四倍体铁角蕨 | ['_', 'Asplenium quadrivalens']
Нету слова 匍匐伏石菜 | ['púfú fúshícài', '[ref]小碗花甜菜[/ref]']
Нету слова 甜菜树属 | ['_', 'род Yunnanopilia']
Нету слова 大叶田繁缕 | ['dàyè tiánfánlǚ', 'бергия капская [i](лат. Bergia capensis)[/i]']
Нету слова 伯格草 | ['bógécǎo', '[ref]田繁缕[/ref]']
Нету слова 田花生 | ['_', 'Platypodium elegans']
Нету слова 无毛田菁 | ['wúmáo tiánjīng', 'сесбания рослая [i](лат. Sesbania exaltata)[/i]']
Нету слова 雪亚迪草 | ['xuěyàdícǎo', 'жерардия', 'шерардия [i](лат. Sherardia)[/i]']
Нету слова 条果芥 | ['tiáoguǒjiè', 'паррия арктическая [i](лат. Parrya arctica)[/i]']
Нету слова 柳叶条果芥 | ['liǔyè tiáoguǒjiè', 'паррия ланцетолистная', 'ахорифрагма ланцетолистная', 'нервоплодник ланцетолистный', 'паррия сизолистная [i](лат. Parrya lancifolia)[/i]']
Нету слова 条绒木属 | ['tiáoróngmù shǔ', 'род мишаритера', 'мисхаритера [i](лат. Mischarytera)[/i]']
Нету слова 内气循环 | ['nèiqì xúnhuán', 'циркуляция внутренней ци']
Нету слова 蓧蕨属 | ['diàojué shǔ', 'род олеандра [i](лат. Oleandra)[/i]']
Нету слова 波边蓧蕨 | ['_', 'Oleandra undulata']
Нету слова 调料九里香 | ['tiáoliào jiǔlǐxiāng', 'муррайя Кёнига [i](лат. Murraya koenigii)[/i]']
Нету слова 广西九里香 | ['_', 'Bergera kwangsiensis']
Нету слова 狭果九里香 | ['_', 'Bergera stenocarpa']
Нету слова 贴瓣楝属 | ['_', 'род Turraeanthus']
Нету слова 三叶贴瓣楝 | ['_', 'Turraeanthus mannii']
Нету слова 短柄贴苞宿檐 | ['_', 'Bakoa brevipedunculata']
Нету слова 贵阳铁角蕨 | ['_', 'Asplenium interjectum']
Нету слова 戟叶对开蕨 | ['_', 'Asplenium sagittatum']
Нету слова 对开蕨 | ['_', 'Asplenium komarovii']
Нету слова 苍山蕨 | ['_', 'Asplenium dalhousiae']
Нету слова 独龙江苍山蕨 | ['_', 'Asplenium qiujiangense']
Нету слова 狭翅巢蕨 | ['_', 'Asplenium antrophyoides']
Нету слова 异形铁角蕨 | ['_', 'Asplenium difforme']
Нету слова 台南铁角蕨 | ['_', 'Asplenium trigonopterum']
Нету слова 黑鳞巢蕨 | ['_', 'Asplenium oblanceolatum']
Нету слова 狭鳞巢蕨 | ['_', 'Asplenium grevillei']
Нету слова 厚叶铁角蕨 | ['_', 'Asplenium griffithianum']
Нету слова 羽裂铁角蕨 | ['_', 'Asplenium thunbergii']
Нету слова 膜连铁角蕨 | ['_', 'Asplenium tenerum']
Нету слова 胡萝卜叶铁角蕨 | ['_', 'Asplenium daucifolium']
Нету слова 狭翅铁角蕨 | ['_', 'Asplenium wrightii']
Нету слова 光亮铁角蕨 | ['_', 'Asplenium splendens']
Нету слова 轴孢铁角蕨 | ['_', 'Asplenium friesiorum']
Нету слова 锯齿叶铁角蕨 | ['_', 'Asplenium serratifolium']
Нету слова 江南铁角蕨 | ['_', 'Asplenium holosorum']
Нету слова 毛轴铁角蕨 | ['_', 'Asplenium crinicaule']
Нету слова 合生铁角蕨 | ['_', 'Asplenium adnatum']
Нету слова 棕鳞铁角蕨 | ['_', 'Asplenium yoshinagae']
Нету слова 东南铁角蕨 | ['_', 'Asplenium oldhamii']
Нету слова 瑞丽铁角蕨 | ['_', 'Asplenium rockii']
Нету слова 脂胶芹叶铁角蕨 | ['_', 'Asplenium laserpitiifolium']
Нету слова 裂叶铁角蕨 | ['_', 'Asplenium lobulatum']
Нету слова 匍茎铁角蕨 | ['_', 'Asplenium stoloniferum']
Нету слова 碧凤铁角蕨 | ['_', 'Asplenium pifongiae']
Нету слова 广东铁角蕨 | ['_', 'Asplenium guangdongense']
Нету слова 镰羽铁角蕨 | ['_', 'Asplenium normale f. scythiforme']
Нету слова 腺齿铁角蕨 | ['_', 'Asplenium glanduliserrulatum']
Нету слова 叉叶铁角蕨 | ['chāyè tiějiǎojué', 'костенец северный [i](лат. Asplenium septentrionale)[/i]']
Нету слова 泉生铁角蕨 | ['quánshēng tiějiǎojué', 'костенец ключевой [i](лат. Asplenium fontanum subsp. fontanum)[/i]']
Нету слова 北美过山蕨 | ['_', 'Asplenium rhizophyllum']
Нету слова 漏做 | ['lòu zuò', 'пропустить', 'не выполнить']
Нету слова 不吸收性 | ['bùxīshōuxìng', '1) непоглощающий2) нерассасывающийся']
Нету слова 细茎 | ['xìjīng', 'тонкий стебель', 'тонкостебельный']
Нету слова 钝齿铁角蕨 | ['_', 'Asplenium tenuicaule var. subvarians']
Нету слова 广布铁角蕨 | ['_', 'Asplenium anogrammoides']
Нету слова 云南铁角蕨 | ['yúnnán tiějiǎojué', 'костенец юннаньский [i](лат. Asplenium yunnanense)[/i]']
Нету слова 叶基宽铁角蕨 | ['_', 'Asplenium pulcherrimum']
Нету слова 西疆铁角蕨 | ['_', 'Asplenium kukkonenii']
Нету слова 近变异铁角蕨 | ['_', 'Asplenium semivarians']
Нету слова 王氏铁角蕨 | ['_', 'Asplenium × wangii']
Нету слова 哈如铁角蕨 | ['_', 'Asplenium trichomanes var. harovii']
Нету слова 卡克-霍利湖 | ['kǎkè huòlì hú', 'озеро Как-Холь ([i]в республике Тыва', 'Россия[/i])']
Нету слова 空气草 | ['kōngqìcǎo', '[ref]铁兰[/ref]']
Нету слова 褶丝凤梨 | ['_', 'Tillandsia stricta']
Нету слова 勾苞铁兰 | ['_', 'Tillandsia andreana']
Нету слова 伯格铁兰 | ['_', 'Tillandsia bergeri']
Нету слова 珠芽铁兰 | ['_', 'Tillandsia bulbosa']
Нету слова 树猴铁兰 | ['shùhóu tiělán', '[ref]猴凤梨[/ref]']
Нету слова 喷泉铁兰 | ['_', 'Tillandsia exserta']
Нету слова 歧花铁兰 | ['_', 'Tillandsia flabellata']
Нету слова 白毛铁兰 | ['_', 'Tillandsia fuchsii']
Нету слова 章鱼铁兰 | ['zhāngyú tiělán', '[ref]精灵凤梨[/ref]']
Нету слова 粗鳞铁兰 | ['_', 'Tillandsia paleacea']
Нету слова 斯普伦铁兰 | ['_', 'Tillandsia sprengeliana']
Нету слова 多花铁兰 | ['_', 'Tillandsia turneri var. orientalis']
Нету слова 天鹅绒铁兰 | ['_', 'Tillandsia velutina']
Нету слова 铁木豆 | ['_', 'Swartzia guianensis']
Нету слова 铁青树属 | ['tiěqīngshù shǔ', 'род олакс (лат. Olax)']
Нету слова 垂枝铁青树 | ['_', 'Olax pendula']
Нету слова 鹰爪铁青树 | ['_', 'Olax spartea']
Нету слова 毛叶铁线蕨 | ['_', 'Adiantum hispidulum']
Нету слова 楔叶铁线蕨 | ['xiēyè tiěxiànjué', 'адиантум Радди', 'адиантум клиновидный [i](лат. Adiantum raddianum)[/i]']
Нету слова 深山铁线蕨 | ['_', 'Adiantum formosanum']
Нету слова 肾盖铁线蕨 | ['_', 'Adiantum erythrochlamys']
Нету слова 细辛叶铁线蕨 | ['_', 'Adiantum asarifolium']
Нету слова 单盖 | ['dān’gài', 'однопокровный']
Нету слова 陇南铁线蕨 | ['_', 'Adiantum roborowskii var. roborowskii']
Нету слова 无芒铁线蕨 | ['_', 'Adiantum bonatianum var. subaristatum']
Нету слова 细叶铁线蕨 | ['xìyè tiěxiànjué', 'адиантум очаровательный [i](лат. Adiantum venustum)[/i]']
Нету слова 铁丝草 | ['tiěsīcǎo', '[ref]铁线蕨[/ref]']
Нету слова 银杏蕨 | ['yínxìngjué', '[ref]铁线蕨[/ref]']
Нету слова 半月形铁线蕨 | ['_', 'Adiantum philippense']
Нету слова 小铁线蕨 | ['_', 'Adiantum mariesii']
Нету слова 仙霞铁线蕨 | ['_', 'Adiantum juxtapositum']
Нету слова 倒卵叶铁线蕨 | ['_', 'Adiantum obovatum']
Нету слова 梅山铁线蕨 | ['_', 'Adiantum meishanianum']
Нету слова 多叶铁线蕨 | ['_', 'Adiantum polyphyllum']
Нету слова 秘鲁铁线蕨 | ['_', 'Adiantum peruvianum']
Нету слова 宽叶铁线蕨 | ['_', 'Adiantum latifolium']
Нету слова 光滑铁线蕨 | ['_', 'Adiantum nudum']
Нету слова 向列液晶材料 | ['xiàngliè yèjīng cáiliào', 'нематический жидкокристаллический материал']
Нету слова 架子菜 | ['jiàzicài', '[ref]铁线莲[/ref]']
Нету слова 覆萼铁线莲 | ['_', 'Clematis pimpinellifolia']
Нету слова 白藤铁线莲 | ['báiténg tiěxiànlián', 'ломонос виноградолистный', 'клематис виноградолистный', 'ломонос обыкновенный [i](лат. Clematis vitalba)[/i]']
Нету слова 铁线芹 | ['_', 'Pseudocarum eminii']
Нету слова 铁心菊 | ['_', 'Cloiselia carbonaria']
Нету слова 榄叶铁心菊 | ['_', 'Cloiselia oleifolia']
Нету слова 深红铁心藤 | ['_', 'Metrosideros carminea']
Нету слова 长柔毛铁心木 | ['_', 'Metrosideros collina var. villosa']
Нету слова 桂铁心木 | ['_', 'Metrosideros elegans']
Нету слова 猩红铁心藤 | ['_', 'Metrosideros fulgens']
Нету слова 克马德克铁心木 | ['kèmǎdékè tiěxīnmù', 'метросидерос кермадекский [i](лат. Metrosideros kermadecensis)[/i]']
Нету слова 沼铁心木 | ['_', 'Metrosideros stipularis']
Нету слова 亭阁草属 | ['tínggécǎo shǔ', 'род микрантес', 'камнеломка [i](лат. Micranthes)[/i]']
Нету слова 美花亭阁草 | ['měihuā tínggécǎo', 'камнеломка Мерка', 'камнеломка Мерка мощная', 'камнеломка незабудколистная', 'микрантес Мерка [i](лат. Micranthes merkii subsp. merkii)[/i]']
Нету слова 崖生亭阁草 | ['_', 'Micranthes petiolaris']
Нету слова 黑亭阁草 | ['_', 'Micranthes atrata']
Нету слова 双喙亭阁草 | ['_', 'Micranthes davidii']
Нету слова 道孚亭阁草 | ['_', 'Micranthes lumpuensis']
Нету слова 微亭阁草 | ['_', 'Micranthes parvula']
Нету слова 斑点亭阁草 | ['bāndiǎn tínggécǎo', 'камнеломка Нельсона [i](лат. Micranthes nelsoniana)[/i]']
Нету слова 苣叶亭阁草 | ['_', 'Micranthes micranthidifolia']
Нету слова 雪生亭阁草 | ['xuěshēng tínggécǎo', 'камнеломка снежная', 'камнеломка Ворошилова [i](лат. Micranthes nivalis)[/i]']
Нету слова 修性改命 | ['xiūxìng gǎimìng', 'совершенствуя природу', 'улучшить судьбу']
Нету слова 男塞舌尔人 | ['nánsàishé’ěrrén', 'сейшелец']
Нету слова 银根松紧 | ['yíngēn sōngjǐn', 'жёсткость денежно-кредитной политики']
Нету слова 大西洋庭菖蒲 | ['_', 'Sisyrinchium atlanticum']
Нету слова 百慕大庭菖蒲 | ['bǎimùdà tíngchāngpú', 'голубоглазка бермудская [i](лат. Sisyrinchium bermudiana)[/i]']
Нету слова 山地庭菖蒲 | ['shāndì tíngchāngpú', 'голубоглазка горная', 'сизиринхий горный [i](лат. Sisyrinchium montanum)[/i]']
Нету слова 趋低 | ['qūdī', 'тенденция к снижению']
Нету слова 细叶庭菖蒲 | ['xìyè tíngchāngpú', 'голубоглазка тонколистная [i](лат. Sisyrinchium tenuifolium)[/i]']
Нету слова 莛阳菊属 | ['_', 'род Enceliopsis']
Нету слова 金球庭芥 | ['jīnqiú tíngjiè', 'бурачок Вульфена [i](лат. Alyssum wulfenianum)[/i]']
Нету слова 莛露菊属 | ['tínglùjú shǔ', 'род перезия [i](лат. Perezia)[/i]']
Нету слова 莛露菊 | ['tínglùjú', 'перезия магелланская [i](лат. Perezia magellanica)[/i]']
Нету слова 莛罗芥属 | ['tíngluójiè shǔ', 'род искандера [i](лат. Iskandera)[/i]']
Нету слова 莛明菊 | ['_', 'Robinsonecio gerberifolius']
Нету слова 莛南芥属 | ['_', 'род Scapiarabis']
Нету слова 莛牛菊 | ['_', 'Bechium rubricaule']
Нету слова 银叶莛阳菊 | ['_', 'Enceliopsis argophylla']
Нету слова 莛子藨 | ['tíngzǐbiāo', 'трёхкосточник перистонадрезанный [i](лат. Triosteum pinnatifidum)[/i]']
Нету слова 腋花莛子藨 | ['yèhuā tíngzǐbiāo', 'трёхкосточник выемчатый [i](лат. Triosteum sinuatum)[/i]']
Нету слова 巴格马蒂葶苈 | ['_', 'Draba bagmatiensis']
Нету слова 不丹葶苈 | ['bùdān tínglì', 'крупка бутанская [i](лат. Draba bhutanica)[/i]']
Нету слова 光莛藓状葶苈 | ['guāngtíng xiǎnzhuàng tínglì', 'крупка разногривая [i](лат. Draba bruniifolia subsp. heterocoma)[/i]']
Нету слова 大花葶苈 | ['_', 'Draba cholaensis']
Нету слова 穴丝荠 | ['_', 'Draba draboides']
Нету слова 中亚葶苈 | ['_', 'Draba huetii']
Нету слова 贡布葶苈 | ['_', 'Draba kongboiana']
Нету слова 科氏葶苈 | ['kēshì tínglì', '[ref]塔什库尔干葶苈[/ref]']
Нету слова 木葶苈 | ['_', 'Draba lindenii']
Нету слова 定日葶苈 | ['_', 'Draba mieheorum']
Нету слова 卵果葶苈 | ['_', 'Draba oariocarpa']
Нету слова 奥氏葶苈 | ['àoshì tínglì', '[ref]光梗葶苈[/ref]']
Нету слова 翅丝葶苈 | ['_', 'Draba podolica']
Нету слова 大毛叶葶苈 | ['_', 'Draba sherriffii']
Нету слова 狭果 | ['xiáguǒ', 'узкоплодный']
Нету слова 微柱葶苈 | ['wēizhù tínglì', 'крупка Турчанинова [i](лат. Draba turczaninowii)[/i]']
Нету слова 山荠 | ['shānjì', '[ref]葶苈[/ref]1)']
Нету слова 挺叶苔 | ['_', 'Anastrophyllum donnianum']
Нету слова 深绿挺叶苔 | ['shēnlǜ tǐngyètái', 'кроссокаликс Геллера [i](лат. Crossocalyx hellerianus)[/i]']
Нету слова 尖叶小挺叶苔 | ['_', 'Anastrophyllum minutum var. acuminatum']
Нету слова 毛口挺叶苔 | ['_', 'Anastrophyllum piligerum']
Нету слова 细纹挺叶苔 | ['_', 'Anastrophyllum striolatum']
Нету слова 锥果通肠藤 | ['_', 'Metaporana conica']
Нету слова 小叶通肠藤 | ['_', 'Metaporana parvifolia var. parvifolia']
Нету слова 绵萼通肠藤 | ['_', 'Metaporana parvifolia var. pilosa']
Нету слова 通灵藤 | ['_', 'Banisteriopsis caapi']
Нету слова 早落通泉草 | ['_', 'Mazus caducifer']
Нету слова 灌状通泉草 | ['_', 'Mazus fruticosus']
Нету слова 长柄通泉草 | ['_', 'Mazus henryi']
Нету слова 莲座通泉草 | ['_', 'Mazus lecomtei']
Нету слова 稀花通泉草 | ['_', 'Mazus oliganthus']
Нету слова 美丽通泉草 | ['_', 'Mazus pulchellus']
Нету слова 滇南通泉草 | ['_', 'Mazus pumilus var. wangii']
Нету слова 松岗通泉草 | ['_', 'Mazus songgangensis']
Нету слова 西藏通泉草 | ['_', 'Mazus surculosus']
Нету слова 休宁通泉草 | ['_', 'Mazus xiuningensis']
Нету слова 佛氏通泉草 | ['fóshì tōngquáncǎo', '[ref]台湾通泉草[/ref]']
Нету слова 孙航通泉草 | ['_', 'Mazus sunhangii']
Нету слова 同瓣槐 | ['_', 'Diplotropis martiusii']
Нету слова 同蒴藓属 | ['tóngshuòxiǎn shǔ', 'род гомалотециум', 'гомалотеций [i](лат. Homalothecium)[/i]']
Нету слова 同叶藓属 | ['_', 'род Isopterygium']
Нету слова 华东同叶藓 | ['_', 'Isopterygium courtoisii']
Нету слова 纤枝同叶藓 | ['_', 'Isopterygium minutirameum']
Нету слова 石生同叶藓 | ['_', 'Isopterygium saxense']
Нету слова 羽枝同叶藓 | ['_', 'Isopterygium subpinnatum']
Нету слова 同钟花 | ['_', 'Homocodon brevipes']
